id,tactic_id,creative_library_id,creative_asset_id,active,deleted,click_tracker_url,click_tracker_encoding_level,impression_pixel_json,js_pixel_json,clickthrough_pixel_json,viewability_pixel_json,last_modified
19152,334386,12430,31736,1,0,https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=20&mc=click&pli=16422398&PluID=0&ord=[timestamp]&rtu=,0,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=16422398&PluID=0&ord=[timestamp]&rtu=-1"",""https:\/\/magnetic.domdex.com\/ahtm?mp=2&n=10804&c=105252&b=116445&sz=88x31&s=${REFERER_URL_ENC}&id=${AUCTION_ID}&a=${PRICE_PAID}""]",NULL,NULL,NULL,2/9/16 5:07
28609,338005,15197,41734,1,0,,0,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=17101888&PluID=0&ord=[timestamp]&rtu=-1"",""https:\/\/lciapi.ninthdecimal.com\/v1\/lci\/imp\/adv-xax\/c-20673?typ=mWeb&chn=anexus&brand=hannaford&did=${DEVICE_AAID}_${DEVICE_APPLE_IDA}&lat=${GEO_LAT}&lon=${GEO_LON}&crtv=md&ad=d&pub=trpl"",""https:\/\/secure.insightexpressai.com\/adServer\/adServerESI.aspx?bannerID=873194&script=false&rnd=${CACHEBUSTER}&redir=https:\/\/secure.insightexpressai.com\/adserver\/1pixel.gif""]",[],[],"[""https:\/\/z.moatads.com\/xaxisautomatedappnexus278849507304\/moatad.js#moatClientLevel1=${ADV_ID}&tlview_id=[TLVIEW_ID]&moatClientLevel2=${CPG_ID}&moatClientLevel3=${CP_ID}&moatClientLevel4=${CREATIVE_ID}&moatClientSlicer1=${SELLER_MEMBER_ID},${TAG_ID},${REFERER_URL_ENC}&moatClientSlicer2=-""]",6/1/16 17:12
3396,325001,4615,8664,1,0,http://pixel.mathtag.com/click/img?mt_aid=${[BID_ATTR.bid_id]}&mt_id=${[AD_ATTR.creative]}&mt_adid=${[AD_ATTR.advertiser]}&redirect=,0,"[""http:\/\/pixel.adsafeprotected.com\/rjss\/st\/28458\/5303771\/skeleton.js"",""http:\/\/adfarm.mediaplex.com\/ad\/tr\/10445-61388-44771-308?mpt=[CACHEBUSTER]"",""http:\/\/h.nexac.com\/e\/a-1433\/s-2834\/c-469\/g-3544.xgi?pkey=bijo15bijox40&chpcm=siteserved&chpsg=dp&chpcr=&chpck=&rand=RANDOM&chpth=10445-61388-44771-308""]",[],[],[],3/21/16 20:11
5644,329247,7878,17036,1,0,https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=20&mc=click&pli=15305141&PluID=0&ord=[timestamp]&rtu=,1,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=15305141&PluID=0&ord=[timestamp]&rtu=-1"",""http:\/\/tags.bluekai.com\/site\/29697?limit=1""]",[],"[""http:\/\/tags.bluekai.com\/site\/29699?limit=1""]",[],12/9/15 1:38
20919,334926,12827,32929,1,0,https://ad.doubleclick.net/ddm/clk/301681650;128765132;a?,0,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N3577.2100704VIVAKI-TRIPLELIFT\/B9428917.128765132;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http:\/\/tags.bluekai.com\/site\/31751?limit=1""]",[],"[""http:\/\/tags.bluekai.com\/site\/31753?limit=1""]",[],2/18/16 16:14
5643,329247,7878,17035,1,0,https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=20&mc=click&pli=15305126&PluID=0&ord=[timestamp]&rtu=,1,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=15305126&PluID=0&ord=[timestamp]&rtu=-1"",""http:\/\/tags.bluekai.com\/site\/29697?limit=1""]",[],"[""http:\/\/tags.bluekai.com\/site\/29699?limit=1""]",[],12/9/15 1:38
1570,314925,747,1336,1,0,http://insight.adsrvr.org/track/clk?ttd_r=${__TTD_CLK__}&r=https://ad.doubleclick.net/ddm/clk/288979486;115960466;i?,0,"[""https:\/\/ohlone.vizu.com\/a.gif?vzcid=19761&vzadid=triplelift&vzsid=accuen&ord=[RANDOM]"",""https:\/\/ad.doubleclick.net\/ad\/N1823.288332.ACCUEN\/B8463186.115960466;sz=1x1;ord=[timestamp]?""]",[],[],,8/18/15 2:37
3183,324514,4193,7895,1,0,,0,[],[],[],,8/18/15 2:40
7812,331060,9618,21775,1,1,,0,[],[],[],NULL,11/30/15 17:31
31943,338935,14672,39772,1,0,NULL,0,"[""https:\/\/ad.doubleclick.net\/ddm\/trackimp\/N2724.1264338TRIPLELIFTINC\/B9289660.126448591;dc_trk_aid=299592702;dc_trk_cid=67479092;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]",[],[],"[""https:\/\/pixel.adsafeprotected.com\/rjss\/st\/49800\/7170964\/skeleton.js""]",4/13/16 17:45
